date,year,month,repo_id,report_url,list_location,detected_point,fish_raw,fish_normalized,size_cm,weight_kg,method,is_night_fishing,evidence_text,confidence
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,メジナ,メジナ,50,,夜釣り、磯釣り,true,50センチオーバーの美味しい魚は残念だったが、複数の40オーバーやメイチも30センチ強のメジナも良い引きを見せてくれた。,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,クロダイ,クロダイ,50,,夜釣り、磯釣り,true,なかなか良い型のクロダイだった。 だがそれのみならず、彼は50㎝オーバーのあるものを狙っていた。,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,シブダイ,シブダイ系,,,夜釣り、磯釣り,true,メジナ、クロダイ、シブダイ、メイチダイ、イサキ、ウツボ、エイ、クサフグ,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,メイチダイ,メイチダイ,,,夜釣り、磯釣り,true,メジナ、クロダイ、シブダイ、メイチダイ、イサキ、ウツボ、エイ、クサフグ,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,イサキ,イサキ,,,夜釣り、磯釣り,true,メジナ、クロダイ、シブダイ、メイチダイ、イサキ、ウツボ、エイ、クサフグ,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,ウツボ,ウツボ,50,,夜釣り、磯釣り,true,エイでもウツボ ではなく・・・^^ 50センチオーバーの美味しい魚は残念だったが、複数の40オーバーやメイチも30センチ強のメジナも良い引きを見せてくれた。,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,エイ,エイ,50,,夜釣り、磯釣り,true,エイでもウツボ ではなく・・・^^ 50センチオーバーの美味しい魚は残念だったが、複数の40オーバーやメイチも30センチ強のメジナも良い引きを見せてくれた。,low
2023-08-17,2023,8,iso_repo437,https://portside-t.com/iso/iso_repo437.htm,伊豆南堤防,伊豆南堤防,クサフグ,フグ類,,,夜釣り、磯釣り,true,メジナ、クロダイ、シブダイ、メイチダイ、イサキ、ウツボ、エイ、クサフグ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,ワカシ,ワカシ,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,シマアジ,シマアジ,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,シブダイ,シブダイ系,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,アカメフグ,フグ類,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,ベラ,ベラ,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
2023-09-30,2023,9,iso_repo438,https://portside-t.com/iso/iso_repo438.htm,伊豆南地磯,伊豆南地磯,ハタンポ,ハタンポ,,,磯釣り,true,ワカシ・シマアジ・シブダイ・アカメフグ・ベラ・ハタンポ,low
